# Common medications found in Cambodian prescriptions
# Format: brand_name|generic_name|therapeutic_class
Amoxicillin|Amoxicillin|Antibiotic - Penicillin
Ampicillin|Ampicillin|Antibiotic - Penicillin
Azithromycin|Azithromycin|Antibiotic - Macrolide
Ciprofloxacin|Ciprofloxacin|Antibiotic - Fluoroquinolone
Metronidazole|Metronidazole|Antibiotic - Nitroimidazole
Doxycycline|Doxycycline|Antibiotic - Tetracycline
Ceftriaxone|Ceftriaxone|Antibiotic - Cephalosporin
Cephalexin|Cephalexin|Antibiotic - Cephalosporin
Erythromycin|Erythromycin|Antibiotic - Macrolide
Cotrimoxazole|Sulfamethoxazole-Trimethoprim|Antibiotic - Sulfonamide
Cloxacillin|Cloxacillin|Antibiotic - Penicillin
Gentamicin|Gentamicin|Antibiotic - Aminoglycoside
Paracetamol|Acetaminophen|Analgesic - Non-opioid
Ibuprofen|Ibuprofen|NSAID
Diclofenac|Diclofenac|NSAID
Mefenamic Acid|Mefenamic Acid|NSAID
Celecoxib|Celecoxib|NSAID - COX-2 Inhibitor
Celcoxx|Celecoxib|NSAID - COX-2 Inhibitor
Aspirin|Acetylsalicylic Acid|NSAID - Salicylate
Naproxen|Naproxen|NSAID
Meloxicam|Meloxicam|NSAID
Piroxicam|Piroxicam|NSAID
Tramadol|Tramadol|Analgesic - Opioid
Codeine|Codeine|Analgesic - Opioid
Morphine|Morphine|Analgesic - Opioid
Omeprazole|Omeprazole|Proton Pump Inhibitor
Pantoprazole|Pantoprazole|Proton Pump Inhibitor
Esomeprazole|Esomeprazole|Proton Pump Inhibitor
Lansoprazole|Lansoprazole|Proton Pump Inhibitor
Ranitidine|Ranitidine|H2 Receptor Antagonist
Famotidine|Famotidine|H2 Receptor Antagonist
Antacid|Antacid|Antacid
Metformin|Metformin|Antidiabetic - Biguanide
Glibenclamide|Glibenclamide|Antidiabetic - Sulfonylurea
Gliclazide|Gliclazide|Antidiabetic - Sulfonylurea
Insulin|Insulin|Antidiabetic - Insulin
Amlodipine|Amlodipine|Antihypertensive - CCB
Nifedipine|Nifedipine|Antihypertensive - CCB
Enalapril|Enalapril|Antihypertensive - ACE Inhibitor
Captopril|Captopril|Antihypertensive - ACE Inhibitor
Losartan|Losartan|Antihypertensive - ARB
Valsartan|Valsartan|Antihypertensive - ARB
Atenolol|Atenolol|Antihypertensive - Beta Blocker
Propranolol|Propranolol|Antihypertensive - Beta Blocker
Metoprolol|Metoprolol|Antihypertensive - Beta Blocker
Hydrochlorothiazide|Hydrochlorothiazide|Diuretic - Thiazide
Furosemide|Furosemide|Diuretic - Loop
Spironolactone|Spironolactone|Diuretic - Potassium-sparing
Simvastatin|Simvastatin|Statin
Atorvastatin|Atorvastatin|Statin
Rosuvastatin|Rosuvastatin|Statin
Prednisolone|Prednisolone|Corticosteroid
Dexamethasone|Dexamethasone|Corticosteroid
Hydrocortisone|Hydrocortisone|Corticosteroid
Prednisone|Prednisone|Corticosteroid
Cetirizine|Cetirizine|Antihistamine
Loratadine|Loratadine|Antihistamine
Chlorpheniramine|Chlorpheniramine|Antihistamine
Diphenhydramine|Diphenhydramine|Antihistamine
Promethazine|Promethazine|Antihistamine
Salbutamol|Salbutamol|Bronchodilator
